pygame 2.0.1 (SDL 2.0.14, Python 3.7.11)
Hello from the pygame community. https://www.pygame.org/contribute.html
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ACAS2D_PPO_tensorboard/run_1048576_5
---------------------------------
| rollout/           |          |
|    explained_variance   | 0.111         |
|    learning_rate        | 0.0003        |
|    loss                 | 3.74          |
|    n_updates            | 300           |
|    policy_gradient_loss | -0.000183     |
|    std                  | 0.917         |
|    value_loss           | 3.85e+03      |
-------------------------------------------
Eval num_timesteps=65536, episode_reward=131.71 +/- 34.89
Episode length: 1199.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 1.2e+03      |
|    mean_reward          | 132          |
| time/                   |              |
|    total timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0003338787 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.157        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.57         |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00062     |
|    std                  | 0.918        |
|    value_loss           | 3.82e+03     |
------------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.06e+03 |
|    ep_rew_mean     | -74      |
| time/              |          |
|    fps             | 66       |
|    iterations      | 32       |
|    time_elapsed    | 985      |
|    total_timesteps | 65536    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.07e+03     |
|    ep_rew_mean          | -69.6        |
| time/                   |              |
|    fps                  | 66           |
|    iterations           | 33           |
|    time_elapsed         | 1009         |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0058793835 |
|    clip_fraction        | 0.0312       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.889        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.64         |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00541     |
|    std                  | 0.913        |
|    value_loss           | 2.45         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.07e+03     |
|    ep_rew_mean          | -66.9        |
| time/                   |              |
|    fps                  | 67           |
|    iterations           | 34           |
|    time_elapsed         | 1031         |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0073052756 |
|    clip_fraction        | 0.0493       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.918        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.328        |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00373     |
|    std                  | 0.91         |
|    value_loss           | 1.53         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.07e+03     |
|    ep_rew_mean          | -62.4        |
| time/                   |              |
|    fps                  | 67           |
|    iterations           | 35           |
|    time_elapsed         | 1054         |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0022044366 |
|    clip_fraction        | 0.017        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.984        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0133       |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00119     |
|    std                  | 0.893        |
|    value_loss           | 0.16         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.08e+03     |
|    ep_rew_mean          | -58.5        |
| time/                   |              |
|    fps                  | 68           |
|    iterations           | 36           |
|    time_elapsed         | 1077         |
|    total_timesteps      | 73728        |
| train/                  |              |
|    approx_kl            | 0.0035352581 |
|    clip_fraction        | 0.0214       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | 0.983        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0448       |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00302     |
|    std                  | 0.896        |
|    value_loss           | 0.273        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.08e+03    |
|    ep_rew_mean          | -55.3       |
| time/                   |             |
|    fps                  | 68          |
|    iterations           | 37          |
|    time_elapsed         | 1099        |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.003124773 |
|    clip_fraction        | 0.014       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.258       |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00147    |
|    std                  | 0.898       |
|    value_loss           | 0.611       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.08e+03     |
|    ep_rew_mean          | -53.9        |
| time/                   |              |
|    fps                  | 69           |
|    iterations           | 38           |
|    time_elapsed         | 1122         |
|    total_timesteps      | 77824        |
| train/                  |              |
|    approx_kl            | 0.0066946847 |
|    clip_fraction        | 0.051        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.31        |
|    explained_variance   | 0.987        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0608       |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.00434     |
|    std                  | 0.896        |
|    value_loss           | 0.177        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.09e+03    |
|    ep_rew_mean          | -50.1       |
| time/                   |             |
|    fps                  | 69          |
|    iterations           | 39          |
|    time_elapsed         | 1144        |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.003156652 |
|    clip_fraction        | 0.0186      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | 0.969       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.164       |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00338    |
|    std                  | 0.902       |
|    value_loss           | 0.445       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.09e+03    |
|    ep_rew_mean          | -33.5       |
| time/                   |             |
|    fps                  | 70          |
|    iterations           | 40          |
|    time_elapsed         | 1167        |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.002375756 |
|    clip_fraction        | 0.0127      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.976       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.112       |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.000919   |
|    std                  | 0.908       |
|    value_loss           | 0.251       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.09e+03     |
|    ep_rew_mean          | -30.9        |
| time/                   |              |
|    fps                  | 70           |
|    iterations           | 41           |
|    time_elapsed         | 1190         |
|    total_timesteps      | 83968        |
| train/                  |              |
|    approx_kl            | 0.0009031687 |
|    clip_fraction        | 0.0019       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.000317     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.89e+03     |
|    n_updates            | 400          |
|    policy_gradient_loss | 0.000135     |
|    std                  | 0.907        |
|    value_loss           | 4.13e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.09e+03     |
|    ep_rew_mean          | -28.1        |
| time/                   |              |
|    fps                  | 70           |
|    iterations           | 42           |
|    time_elapsed         | 1213         |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0058268905 |
|    clip_fraction        | 0.049        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.865        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.958        |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00302     |
|    std                  | 0.926        |
|    value_loss           | 1.21         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.09e+03     |
|    ep_rew_mean          | -24.2        |
| time/                   |              |
|    fps                  | 71           |
|    iterations           | 43           |
|    time_elapsed         | 1236         |
|    total_timesteps      | 88064        |
| train/                  |              |
|    approx_kl            | 0.0028135697 |
|    clip_fraction        | 0.0284       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.782        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.535        |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.00268     |
|    std                  | 0.948        |
|    value_loss           | 1.59         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.1e+03      |
|    ep_rew_mean          | -21.3        |
