pygame 2.0.1 (SDL 2.0.14, Python 3.7.11)
Hello from the pygame community. https://www.pygame.org/contribute.html
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ACAS2D_PPO_tensorboard/run_1048576_6
---------------------------------
| rollout/           |          |
|    loss                 | 0.00772     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00461    |
|    std                  | 0.929       |
|    value_loss           | 0.149       |
-----------------------------------------
Eval num_timesteps=32768, episode_reward=80.96 +/- 45.46
Episode length: 1200.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 1.2e+03      |
|    mean_reward          | 81           |
| time/                   |              |
|    total timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0029006996 |
|    clip_fraction        | 0.0166       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.974        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00356      |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00343     |
|    std                  | 0.956        |
|    value_loss           | 0.093        |
------------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.07e+03 |
|    ep_rew_mean     | -69.8    |
| time/              |          |
|    fps             | 66       |
|    iterations      | 16       |
|    time_elapsed    | 493      |
|    total_timesteps | 32768    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.08e+03     |
|    ep_rew_mean          | -61.4        |
| time/                   |              |
|    fps                  | 67           |
|    iterations           | 17           |
|    time_elapsed         | 516          |
|    total_timesteps      | 34816        |
| train/                  |              |
|    approx_kl            | 0.0050531244 |
|    clip_fraction        | 0.0274       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.38        |
|    explained_variance   | 0.871        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.082        |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00196     |
|    std                  | 0.968        |
|    value_loss           | 0.508        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.08e+03     |
|    ep_rew_mean          | -54.3        |
| time/                   |              |
|    fps                  | 68           |
|    iterations           | 18           |
|    time_elapsed         | 538          |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0032659345 |
|    clip_fraction        | 0.0161       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.38        |
|    explained_variance   | 0.971        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.182        |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.000302    |
|    std                  | 0.963        |
|    value_loss           | 0.41         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.09e+03      |
|    ep_rew_mean          | -51.6         |
| time/                   |               |
|    fps                  | 69            |
|    iterations           | 19            |
|    time_elapsed         | 561           |
|    total_timesteps      | 38912         |
| train/                  |               |
|    approx_kl            | 0.00030285554 |
|    clip_fraction        | 0.000977      |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.39         |
|    explained_variance   | 0.848         |
|    learning_rate        | 0.0003        |
|    loss                 | 0.386         |
|    n_updates            | 180           |
|    policy_gradient_loss | -0.000425     |
|    std                  | 0.974         |
|    value_loss           | 1.19          |
-------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.09e+03   |
|    ep_rew_mean          | -46.9      |
| time/                   |            |
|    fps                  | 70         |
|    iterations           | 20         |
|    time_elapsed         | 584        |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.00445751 |
|    clip_fraction        | 0.0237     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.4       |
|    explained_variance   | 0.962      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0365     |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.00222   |
|    std                  | 0.98       |
|    value_loss           | 0.282      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.1e+03     |
|    ep_rew_mean          | -40.5       |
| time/                   |             |
|    fps                  | 70          |
|    iterations           | 21          |
|    time_elapsed         | 606         |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.005502125 |
|    clip_fraction        | 0.0572      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.979       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.15        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00407    |
|    std                  | 1           |
|    value_loss           | 0.411       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.1e+03      |
|    ep_rew_mean          | -37.4        |
| time/                   |              |
|    fps                  | 71           |
|    iterations           | 22           |
|    time_elapsed         | 629          |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0033497307 |
|    clip_fraction        | 0.00713      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.97         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.228        |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.000608    |
|    std                  | 1            |
|    value_loss           | 0.553        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.09e+03    |
|    ep_rew_mean          | -52         |
| time/                   |             |
|    fps                  | 72          |
|    iterations           | 23          |
|    time_elapsed         | 652         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.004367847 |
|    clip_fraction        | 0.0333      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.95        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.204       |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00241    |
|    std                  | 0.985       |
|    value_loss           | 0.81        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.09e+03     |
|    ep_rew_mean          | -49.2        |
| time/                   |              |
|    fps                  | 72           |
|    iterations           | 24           |
|    time_elapsed         | 674          |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 9.249468e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.0568       |
|    learning_rate        | 0.0003       |
|    loss                 | 1.74         |
|    n_updates            | 230          |
|    policy_gradient_loss | 8.3e-06      |
|    std                  | 0.985        |
|    value_loss           | 3.9e+03      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.1e+03      |
|    ep_rew_mean          | -44.3        |
| time/                   |              |
|    fps                  | 73           |
|    iterations           | 25           |
|    time_elapsed         | 697          |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0035698167 |
|    clip_fraction        | 0.0452       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.947        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.08         |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00176     |
|    std                  | 0.976        |
|    value_loss           | 0.365        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.1e+03      |
|    ep_rew_mean          | -38.4        |
| time/                   |              |
|    fps                  | 73           |
|    iterations           | 26           |
|    time_elapsed         | 720          |
|    total_timesteps      | 53248        |
| train/                  |              |
|    approx_kl            | 0.0038727832 |
|    clip_fraction        | 0.0207       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.926        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.319        |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00375     |
|    std                  | 0.972        |
|    value_loss           | 1.1          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.1e+03     |
|    ep_rew_mean          | -35.9       |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 27          |
|    time_elapsed         | 742         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.004437294 |
|    clip_fraction        | 0.0419      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.967       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.208       |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.00209    |
|    std                  | 0.959       |
|    value_loss           | 0.578       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.1e+03     |
|    ep_rew_mean          | -8.47       |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 28          |
|    time_elapsed         | 764         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.005919369 |
|    clip_fraction        | 0.0263      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.936       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.163       |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00192    |
|    std                  | 0.99        |
|    value_loss           | 0.441       |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.04e+03      |
|    ep_rew_mean          | -95           |
| time/                   |               |
|    fps                  | 75            |
|    iterations           | 29            |
|    time_elapsed         | 787           |
|    total_timesteps      | 59392         |
| train/                  |               |
|    approx_kl            | 0.00035617128 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.0251        |
|    learning_rate        | 0.0003        |
|    loss                 | 10.7          |
|    n_updates            | 280           |
|    policy_gradient_loss | -0.000524     |
|    std                  | 0.991         |
|    value_loss           | 4.03e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.03e+03      |
|    ep_rew_mean          | -108          |
| time/                   |               |
|    fps                  | 75            |
|    iterations           | 30            |
|    time_elapsed         | 809           |
|    total_timesteps      | 61440         |
| train/                  |               |
|    approx_kl            | 3.0038063e-07 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.0469        |
|    learning_rate        | 0.0003        |
|    loss                 | 9.8e+03       |
|    n_updates            | 290           |
|    policy_gradient_loss | 3.3e-06       |
|    std                  | 0.991         |
|    value_loss           | 1.94e+04      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.01e+03     |
|    ep_rew_mean          | -113         |
| time/                   |              |
|    fps                  | 76           |
|    iterations           | 31           |
|    time_elapsed         | 832          |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0003033737 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.155        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.18         |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.000653    |
|    std                  | 0.992        |
|    value_loss           | 3.8e+03      |
------------------------------------------
Eval num_timesteps=65536, episode_reward=-558.87 +/- 879.52
Episode length: 442.20 +/- 96.99
-------------------------------------------
| eval/                   |               |
|    mean_ep_length       | 442           |
|    mean_reward          | -559          |
| time/                   |               |
|    total timesteps      | 65536         |
| train/                  |               |
|    approx_kl            | 5.2039104e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.127         |
|    learning_rate        | 0.0003        |
|    loss                 | 5.06e+03      |
|    n_updates            | 310           |
|    policy_gradient_loss | -5.44e-05     |
|    std                  | 0.992         |
|    value_loss           | 1.14e+04      |
-------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -121     |
| time/              |          |
|    fps             | 72       |
|    iterations      | 32       |
|    time_elapsed    | 901      |
|    total_timesteps | 65536    |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 994           |
|    ep_rew_mean          | -131          |
| time/                   |               |
|    fps                  | 73            |
|    iterations           | 33            |
|    time_elapsed         | 924           |
|    total_timesteps      | 67584         |
| train/                  |               |
|    approx_kl            | 0.00017573519 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.175         |
|    learning_rate        | 0.0003        |
|    loss                 | 75            |
|    n_updates            | 320           |
|    policy_gradient_loss | -0.000447     |
|    std                  | 0.992         |
|    value_loss           | 3.79e+03      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 972          |
|    ep_rew_mean          | -165         |
| time/                   |              |
|    fps                  | 73           |
|    iterations           | 34           |
|    time_elapsed         | 946          |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 7.378243e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.234        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.31e+04     |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.000336    |
|    std                  | 0.992        |
|    value_loss           | 3.7e+03      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 939          |
|    ep_rew_mean          | -191         |
| time/                   |              |
|    fps                  | 73           |
|    iterations           | 35           |
|    time_elapsed         | 969          |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 6.374126e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.203        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.15e+03     |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.000225    |
|    std                  | 0.992        |
|    value_loss           | 1.09e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 936          |
|    ep_rew_mean          | -196         |
| time/                   |              |
|    fps                  | 74           |
|    iterations           | 36           |
|    time_elapsed         | 991          |
|    total_timesteps      | 73728        |
| train/                  |              |
|    approx_kl            | 9.522773e-08 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.184        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.08e+04     |
|    n_updates            | 350          |
|    policy_gradient_loss | 1.62e-06     |
|    std                  | 0.993        |
|    value_loss           | 1.8e+04      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 943          |
|    ep_rew_mean          | -189         |
| time/                   |              |
|    fps                  | 74           |
|    iterations           | 37           |
|    time_elapsed         | 1014         |
|    total_timesteps      | 75776        |
| train/                  |              |
|    approx_kl            | 0.0005186379 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.384        |
|    learning_rate        | 0.0003       |
|    loss                 | 57           |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.000353    |
|    std                  | 0.992        |
|    value_loss           | 3.55e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 941          |
|    ep_rew_mean          | -157         |
| time/                   |              |
|    fps                  | 75           |
|    iterations           | 38           |
|    time_elapsed         | 1036         |
|    total_timesteps      | 77824        |
| train/                  |              |
|    approx_kl            | 0.0048704203 |
|    clip_fraction        | 0.0148       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.81         |
|    learning_rate        | 0.0003       |
|    loss                 | 5.56         |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.0032      |
|    std                  | 0.988        |
|    value_loss           | 30.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 942          |
|    ep_rew_mean          | -139         |
| time/                   |              |
|    fps                  | 75           |
|    iterations           | 39           |
|    time_elapsed         | 1059         |
|    total_timesteps      | 79872        |
| train/                  |              |
|    approx_kl            | 0.0007492996 |
|    clip_fraction        | 4.88e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.0722       |
|    learning_rate        | 0.0003       |
|    loss                 | 1.99e+03     |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.000615    |
|    std                  | 0.988        |
|    value_loss           | 7.49e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 948          |
|    ep_rew_mean          | -133         |
| time/                   |              |
|    fps                  | 75           |
|    iterations           | 40           |
|    time_elapsed         | 1082         |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0016243454 |
|    clip_fraction        | 0.000342     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.139        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.23e+03     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.000223    |
|    std                  | 0.99         |
|    value_loss           | 3.71e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 954         |
|    ep_rew_mean          | -128        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 41          |
|    time_elapsed         | 1104        |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.009754764 |
|    clip_fraction        | 0.0724      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.753       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.49        |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00583    |
|    std                  | 0.989       |
|    value_loss           | 16.6        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 957          |
|    ep_rew_mean          | -125         |
| time/                   |              |
|    fps                  | 76           |
|    iterations           | 42           |
|    time_elapsed         | 1127         |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0068802135 |
|    clip_fraction        | 0.0503       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.627        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.27         |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00523     |
|    std                  | 0.997        |
|    value_loss           | 15.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 962         |
|    ep_rew_mean          | -121        |
| time/                   |             |
|    fps                  | 76          |
|    iterations           | 43          |
|    time_elapsed         | 1150        |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.007864723 |
|    clip_fraction        | 0.0846      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.361       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.27        |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00618    |
|    std                  | 0.998       |
|    value_loss           | 7.37        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 967         |
|    ep_rew_mean          | -118        |
| time/                   |             |
|    fps                  | 76          |
|    iterations           | 44          |
|    time_elapsed         | 1172        |
|    total_timesteps      | 90112       |
